T1,H1,S1,G1,F1,T2,H2,S2,G2,F2,T3,H3,S3,G3,F3,T4,H4,S4,G4,F4,CLASS_LABEL
39.55,52.57,0.0,0.0,0.0,39.8,46.02,0.0,0.0,0.0,45.89,36.31,0.0,13.0,0.0,44.15,39.9,0.0,0.0,3855.0,1.0
33.36,57.63,0.0,13.0,0.0,62.57,53.57,0.0,0.0,0.0,32.5,58.94,0.0,33.0,0.0,33.27,16.74,0.0,45.0,0.0,1.0
30.46,68.17,0.0,8.0,0.0,29.93,68.68,0.0,0.0,0.0,30.51,66.62,0.0,54.0,0.0,32.92,64.48,0.0,0.0,0.0,0.0
30.5,68.14,0.0,9.0,0.0,29.97,68.73,0.0,0.0,0.0,30.52,66.64,0.0,55.0,0.0,32.94,64.55,0.0,0.0,0.0,0.0
45.0,46.37,0.0,0.0,2653.0,42.87,40.72,0.0,0.0,0.0,39.2,52.97,0.0,9.0,0.0,40.56,48.68,0.0,7.0,0.0,1.0
30.5,68.19,0.0,9.0,0.0,29.98,68.78,0.0,0.0,0.0,30.54,66.62,0.0,54.0,0.0,32.97,64.59,0.0,0.0,0.0,0.0
30.5,68.18,0.0,7.0,0.0,29.97,68.78,0.0,0.0,0.0,30.54,66.62,0.0,54.0,0.0,32.96,64.59,0.0,0.0,0.0,0.0
30.48,68.07,0.0,11.0,0.0,29.99,68.61,0.0,0.0,0.0,30.5,66.55,0.0,52.0,0.0,32.9,64.38,0.0,0.0,0.0,0.0
33.2,71.62,0.0,0.0,0.0,32.99,72.98,0.0,0.0,0.0,42.4,42.45,0.0,49.0,0.0,47.09,40.92,0.0,0.0,0.0,1.0
32.55,69.7,0.0,0.0,0.0,32.74,69.58,0.0,0.0,0.0,30.86,74.08,0.0,48.0,0.0,32.9,65.91,0.0,0.0,0.0,0.0
30.5,68.13,0.0,10.0,0.0,29.97,68.74,0.0,0.0,0.0,30.53,66.64,0.0,57.0,0.0,32.97,64.55,0.0,0.0,0.0,0.0
30.5,68.21,0.0,6.0,0.0,29.98,68.79,0.0,0.0,0.0,30.53,66.65,0.0,55.0,0.0,32.99,64.61,0.0,0.0,0.0,0.0
39.23,55.02,0.0,0.0,0.0,40.75,44.25,0.0,0.0,0.0,40.97,46.04,0.0,5.0,0.0,47.78,32.0,0.0,5.0,0.0,1.0
30.3,67.94,0.0,0.0,0.0,29.84,68.4,0.0,0.0,0.0,30.35,66.63,0.0,53.0,0.0,32.82,64.18,0.0,0.0,0.0,0.0
32.73,69.46,0.0,0.0,0.0,33.07,68.63,0.0,0.0,0.0,30.57,74.77,0.0,53.0,0.0,31.94,68.43,0.0,0.0,0.0,0.0
39.23,53.4,0.0,0.0,0.0,40.09,45.48,0.0,0.0,0.0,42.97,40.66,0.0,11.0,0.0,46.08,36.58,0.0,0.0,3305.0,1.0
32.78,69.76,0.0,0.0,0.0,33.43,68.46,0.0,0.0,0.0,30.52,74.77,0.0,54.0,0.0,31.48,69.23,0.0,0.0,0.0,0.0
30.46,68.22,0.0,0.0,0.0,30.05,68.86,0.0,0.0,0.0,30.52,66.61,0.0,54.0,0.0,33.17,64.66,0.0,0.0,0.0,0.0
30.66,68.26,0.0,6.0,0.0,30.33,69.4,0.0,0.0,0.0,30.91,66.08,0.0,54.0,0.0,33.17,65.01,0.0,0.0,0.0,0.0
30.26,68.08,0.0,7.0,0.0,29.82,68.34,0.0,0.0,0.0,30.29,66.79,0.0,55.0,0.0,32.83,64.06,0.0,0.0,0.0,0.0
30.45,68.16,0.0,10.0,0.0,29.93,68.67,0.0,0.0,0.0,30.5,66.64,0.0,53.0,0.0,32.92,64.49,0.0,0.0,0.0,0.0
30.5,68.13,0.0,10.0,0.0,29.98,68.75,0.0,0.0,0.0,30.53,66.63,0.0,55.0,0.0,32.98,64.56,0.0,0.0,0.0,0.0
35.29,68.19,0.0,0.0,0.0,33.39,71.64,0.0,0.0,0.0,35.32,59.85,0.0,53.0,0.0,49.47,30.06,0.0,0.0,0.0,1.0
30.47,68.14,0.0,9.0,0.0,29.95,68.7,0.0,0.0,0.0,30.53,66.59,0.0,54.0,0.0,32.94,64.51,0.0,0.0,0.0,0.0
44.15,48.32,0.0,0.0,3825.0,43.56,39.42,0.0,0.0,0.0,39.05,53.45,0.0,11.0,0.0,40.54,48.58,0.0,11.0,0.0,1.0
37.56,61.37,0.0,0.0,916.0,52.79,25.88,0.0,0.0,0.0,37.35,57.71,0.0,11.0,0.0,40.2,49.03,0.0,0.0,0.0,1.0
48.07,28.26,0.0,15.0,0.0,35.88,52.14,0.0,0.0,0.0,48.21,34.41,0.0,2.0,1358.0,34.22,100.0,0.0,22.0,0.0,1.0
30.49,68.35,0.0,7.0,0.0,30.03,69.17,0.0,0.0,0.0,30.65,66.45,0.0,58.0,0.0,33.1,64.89,0.0,0.0,0.0,0.0
30.54,68.37,0.0,8.0,0.0,30.16,69.29,0.0,0.0,0.0,30.71,66.42,0.0,59.0,0.0,33.13,64.96,0.0,0.0,0.0,0.0
30.29,67.94,0.0,10.0,0.0,29.79,68.39,0.0,0.0,0.0,30.33,66.68,0.0,54.0,0.0,32.8,64.15,0.0,0.0,0.0,0.0
32.75,69.47,0.0,2.0,0.0,33.1,68.51,0.0,0.0,0.0,30.56,74.74,0.0,50.0,0.0,31.87,68.6,0.0,0.0,0.0,0.0
38.02,60.31,0.0,0.0,0.0,49.03,30.48,0.0,0.0,2369.0,37.66,57.0,0.0,16.0,0.0,40.44,48.29,0.0,12.0,0.0,1.0
45.49,40.08,0.0,0.0,0.0,40.4,45.17,0.0,0.0,0.0,41.51,48.03,0.0,9.0,941.0,41.39,45.77,0.0,12.0,0.0,1.0
37.68,46.26,0.0,16.0,0.0,35.43,53.75,0.0,0.0,0.0,58.72,19.19,0.0,4.0,2127.0,34.22,100.0,0.0,26.0,0.0,1.0
41.63,47.77,0.0,0.0,0.0,39.78,46.62,0.0,0.0,0.0,46.11,39.16,0.0,16.0,3519.0,41.83,44.44,0.0,10.0,0.0,1.0
37.72,57.31,0.0,0.0,0.0,39.98,55.81,0.0,0.0,1389.0,34.02,64.87,0.0,49.0,0.0,39.13,47.22,0.0,0.0,0.0,1.0
30.29,67.97,0.0,10.0,0.0,29.79,68.38,0.0,0.0,0.0,30.33,66.67,0.0,54.0,0.0,32.8,64.14,0.0,0.0,0.0,0.0
